+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                              ;
+------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                          ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; io_u|\IOPIN_GEN:11:iopinx                                                          ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:10:iopinx                                                          ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:9:iopinx                                                           ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:8:iopinx                                                           ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:7:iopinx                                                           ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:6:iopinx                                                           ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:5:iopinx                                                           ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:4:iopinx                                                           ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:3:iopinx                                                           ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:2:iopinx                                                           ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:1:iopinx                                                           ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u|\IOPIN_GEN:0:iopinx                                                           ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; io_u                                                                               ; 114   ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 32    ; 0              ; 9            ; 0                ; 9                 ;
; cpu_pipelined_u|forwarding_unit_branch_u                                           ; 46    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|forwarding_unit_u                                                  ; 42    ; 0              ; 13           ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|mem_wb_pipe_reg_u                                                  ; 80    ; 0              ; 0            ; 0              ; 78     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|ex_mem_pipe_reg_u                                                  ; 124   ; 37             ; 0            ; 37             ; 122    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|id_ex_pipe_reg_u                                                   ; 170   ; 32             ; 0            ; 32             ; 168    ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|if_id_pipe_reg_u                                                   ; 67    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|control_unit_u                                                     ; 8     ; 1              ; 0            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|data_memory_u                                                      ; 165   ; 0              ; 1            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|immediate_generator_u                                              ; 32    ; 0              ; 8            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_controller_u                                                   ; 12    ; 2              ; 0            ; 2              ; 5      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:30:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:30:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:30:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:30:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:29:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:29:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:29:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:29:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:28:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:28:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:28:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:28:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:27:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:27:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:27:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:27:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:26:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:26:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:26:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:26:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:25:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:25:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:25:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:25:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:24:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:24:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:24:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:24:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:23:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:23:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:23:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:23:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:22:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:22:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:22:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:22:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:21:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:21:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:21:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:21:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:20:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:20:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:20:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:20:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:19:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:19:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:19:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:19:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:18:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:18:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:18:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:18:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:17:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:17:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:17:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:17:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:16:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:16:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:16:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:16:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:15:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:15:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:15:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:15:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:14:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:14:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:14:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:14:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:13:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:13:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:13:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:13:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:12:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:12:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:12:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:12:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:11:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:11:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:11:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:11:one_bit_aluX                             ; 9     ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:10:one_bit_aluX|full_adder_1|adder2         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:10:one_bit_aluX|full_adder_1|adder1         ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cpu_pipelined_u|alu_u|\ONE_BIT_ALU_GEN:10:one_bit_aluX|full_adder_1                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
